name,age,country,value,position,season,team
Jayson Molumby,25,Ireland,€3.00m,Central Midfield,2024,west-bromwich-albion
Tom Fellows,21,England,€600k,Right Midfield,2024,west-bromwich-albion
Callum Styles,24,"Hungary, England",€2.50m,Left Midfield,2024,west-bromwich-albion
Mikey Johnston,25,"Ireland, Scotland",€3.00m,Left Winger,2024,west-bromwich-albion
Lewis Dobbin,21,England,€2.50m,Left Winger,2024,west-bromwich-albion
Grady Diangana,26,"DR Congo, England",€4.00m,Right Winger,2024,west-bromwich-albion
Jed Wallace,30,England,€3.00m,Right Winger,2024,west-bromwich-albion
Karlan Grant,27,"England, Scotland",€3.80m,Centre-Forward,2024,west-bromwich-albion
Josh Maja,25,"Nigeria, England",€3.20m,Centre-Forward,2024,west-bromwich-albion
Daryl Dike,24,"United States, Nigeria",€3.20m,Centre-Forward,2024,west-bromwich-albion
Devante Cole,29,"Jamaica, England",€800k,Centre-Forward,2024,west-bromwich-albion
Aynsley Pears,26,England,€1.20m,Goalkeeper,2024,blackburn-rovers
Balázs Tóth,27,Hungary,€900k,Goalkeeper,2024,blackburn-rovers
Joe Hilton,25,England,€150k,Goalkeeper,2024,blackburn-rovers
Jack Barrett,22,England,€50k,Goalkeeper,2024,blackburn-rovers
Dominic Hyam,28,"Scotland, England",€2.50m,Centre-Back,2024,blackburn-rovers
Scott Wharton,27,England,€2.50m,Centre-Back,2024,blackburn-rovers
Hayden Carter,24,England,€2.50m,Centre-Back,2024,blackburn-rovers
Danny Batth,34,"England, India",€300k,Centre-Back,2024,blackburn-rovers
Kyle McFadzean,37,England,€200k,Centre-Back,2024,blackburn-rovers
Harry Pickering,25,England,€4.20m,Left-Back,2024,blackburn-rovers
Owen Beck,22,Wales,€1.25m,Left-Back,2024,blackburn-rovers
Callum Brittain,26,England,€2.50m,Right-Back,2024,blackburn-rovers
Joe Rankin-Costello,25,England,€1.50m,Right-Back,2024,blackburn-rovers
Lewis Travis,27,England,€3.50m,Defensive Midfield,2024,blackburn-rovers
John Buckley,25,England,€2.20m,Central Midfield,2024,blackburn-rovers
Sondre Tronstad,29,Norway,€2.00m,Central Midfield,2024,blackburn-rovers
Lewis Baker,29,"England, Jamaica",€1.80m,Central Midfield,2024,blackburn-rovers
Todd Cantwell,26,England,€4.50m,Attacking Midfield,2024,blackburn-rovers
Andreas Weimann,33,Austria,€900k,Attacking Midfield,2024,blackburn-rovers
Arnór Sigurdsson,25,Iceland,€2.80m,Left Winger,2024,blackburn-rovers
Tyrhys Dolan,22,England,€5.00m,Right Winger,2024,blackburn-rovers
Amario Cozier-Duberry,19,"England, Montserrat",€2.00m,Right Winger,2024,blackburn-rovers
Ryan Hedges,29,"Wales, England",€1.20m,Right Winger,2024,blackburn-rovers
Makhtar Gueye,26,Senegal,€2.00m,Centre-Forward,2024,blackburn-rovers
Yuki Ohashi,28,Japan,€1.50m,Centre-Forward,2024,blackburn-rovers
Harry Leonard,21,England,€1.00m,Centre-Forward,2024,blackburn-rovers
Max O'Leary,28,"Ireland, England",€2.50m,Goalkeeper,2024,bristol-city
Stefan Bajic,22,"France, Serbia",€800k,Goalkeeper,2024,bristol-city
Lewis Thomas,27,Wales,€150k,Goalkeeper,2024,bristol-city
Luke McNally,25,Ireland,€3.20m,Centre-Back,2024,bristol-city
Zak Vyner,27,"Kenya, England",€2.80m,Centre-Back,2024,bristol-city
Rob Dickie,28,England,€2.80m,Centre-Back,2024,bristol-city
Rob Atkinson,26,England,€2.00m,Centre-Back,2024,bristol-city
Kal Naismith,32,Scotland,€700k,Centre-Back,2024,bristol-city
Cameron Pring,26,England,€2.50m,Left-Back,2024,bristol-city
Haydon Roberts,22,England,€700k,Left-Back,2024,bristol-city
George Tanner,25,England,€2.50m,Right-Back,2024,bristol-city
Ross McCrorie,26,Scotland,€1.80m,Right-Back,2024,bristol-city
Max Bird,24,England,€2.80m,Defensive Midfield,2024,bristol-city
Marcus McGuane,25,"England, Ireland",€500k,Defensive Midfield,2024,bristol-city
Omar Taylor-Clarke,20,Wales,€100k,Defensive Midfield,2024,bristol-city
Jason Knight,23,Ireland,€5.00m,Central Midfield,2024,bristol-city
Joe Williams,27,England,€1.20m,Central Midfield,2024,bristol-city
Ayman Benarous,21,"England, Algeria",€200k,Central Midfield,2024,bristol-city
Mark Sykes,27,"Ireland, Northern Ireland",€1.80m,Right Midfield,2024,bristol-city
Scott Twine,25,England,€3.50m,Attacking Midfield,2024,bristol-city
George Earthy,20,England,€1.00m,Attacking Midfield,2024,bristol-city
Anis Mehmeti,23,"Albania, England",€1.80m,Left Winger,2024,bristol-city
Sam Bell,22,England,€1.20m,Left Winger,2024,bristol-city
Yu Hirakawa,23,Japan,€900k,Right Winger,2024,bristol-city
Fally Mayulu,22,"France, DR Congo",€3.00m,Centre-Forward,2024,bristol-city
Sinclair Armstrong,21,"Ireland, Nigeria",€2.20m,Centre-Forward,2024,bristol-city
Harry Cornick,29,England,€1.20m,Centre-Forward,2024,bristol-city
Nahki Wells,34,Bermuda,€400k,Centre-Forward,2024,bristol-city
Daniel Bachmann,30,Austria,€2.20m,Goalkeeper,2024,fc-watford
Jonathan Bond,31,"England, Wales",€600k,Goalkeeper,2024,fc-watford
Alfie Marriott,20,England,€0,Goalkeeper,2024,fc-watford
Ryan Porteous,25,Scotland,€3.00m,Centre-Back,2024,fc-watford
Francisco Sierralta,27,"Chile, Spain",€1.50m,Centre-Back,2024,fc-watford
Mattie Pollock,23,England,€900k,Centre-Back,2024,fc-watford
Kévin Keben,20,Cameroon,€700k,Centre-Back,2024,fc-watford
Antonio Tikvic,20,"Croatia, Germany",€700k,Centre-Back,2024,fc-watford
Kayky Almeida,19,Brazil,€600k,Centre-Back,2024,fc-watford
Angelo Ogbonna,36,"Italy, Nigeria",€500k,Centre-Back,2024,fc-watford
Yasser Larouci,23,"Algeria, France",€3.00m,Left-Back,2024,fc-watford
James Morris,23,England,€300k,Left-Back,2024,fc-watford
Ryan Andrews,20,England,€2.00m,Right-Back,2024,fc-watford
Jeremy Ngakia,24,"England, DR Congo",€1.50m,Right-Back,2024,fc-watford
Edo Kayembe,26,DR Congo,€3.00m,Defensive Midfield,2024,fc-watford
Imrân Louza,25,"Morocco, France",€7.00m,Central Midfield,2024,fc-watford
Pierre Dwomoh,20,"Belgium, Ghana",€2.50m,Central Midfield,2024,fc-watford
Tom Dele-Bashiru,25,"Nigeria, England",€1.20m,Central Midfield,2024,fc-watford
Moussa Sissoko,35,"France, Mali",€1.00m,Central Midfield,2024,fc-watford
