player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Ollie Tanner,ENG,Cardiff City,22,Forward,855.0,9.5,7.189473684210526,0.10526315789473684,1.5789473684210527,0.21052631578947367,2.831578947368421,3.0526315789473686,0.42105263157894735,20.31578947368421,26.526315789473685,1.6842105263157894,4.2105263157894735,8.631578947368421,1.7894736842105263,5.968421052631579,3.0526315789473686,3.263157894736842,0.8421052631578947,3.789473684210526
Fabio Tavares,ENG,Coventry City,23,Forward,978.0,10.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Taylor,WAL,Luton Town,22,Forward,581.0,6.455555555555556,6.784853700516351,0.0,0.0,0.0,3.87263339070568,0.46471600688468157,0.0,1.549053356282272,3.5628227194492252,0.3098106712564544,0.1549053356282272,1.549053356282272,0.0,7.74526678141136,0.0,0.0,0.0,0.774526678141136
Emre Tezgel,ENG,Stoke City,19,Forward,1030.0,11.444444444444445,6.736893203883494,0.0,0.34951456310679613,0.0,2.1844660194174756,0.34951456310679613,0.0,3.495145631067961,2.3592233009708736,0.08737864077669903,0.17475728155339806,1.2233009708737863,0.0,2.499029126213592,0.2621359223300971,0.0,0.17475728155339806,0.2621359223300971
Joshua Thomas,WAL,Swansea City,22,Midfielder,1037.0,11.522222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liam Thompson,ENG,Derby County,22,Midfielder,1004.0,11.155555555555555,6.624501992031873,0.0,0.0,0.0,2.985059760956175,0.6274900398406374,0.08964143426294821,12.908366533864543,7.52988047808765,0.7171314741035857,1.0756972111553786,2.0617529880478087,0.35856573705179284,1.7928286852589643,1.1653386454183268,0.6274900398406374,0.26892430278884466,1.8824701195219125
Muhamed Tijani,NGA,Plymouth Argyle,24,Forward,526.0,5.844444444444444,7.2034220532319395,0.1711026615969582,0.0,0.0,8.55513307984791,0.0,0.0,3.2509505703422055,2.0532319391634983,0.0,0.0,0.0,0.0,6.844106463878328,0.1711026615969582,0.1711026615969582,0.0,0.1711026615969582
Lewis Travis,ENG,Blackburn,27,Midfielder,966.0,10.733333333333333,7.863354037267082,0.09316770186335405,1.0248447204968945,0.1863354037267081,3.391304347826087,2.515527950310559,0.27950310559006214,50.12422360248448,14.720496894409939,0.9316770186335405,1.5838509316770188,1.3975155279503106,2.7950310559006213,4.416149068322982,0.46583850931677023,4.192546583850932,1.863354037267081,6.987577639751553
Nectarios Triantis,AUS,Sunderland,21,Forward,599.0,6.655555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15025041736227043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sondre Tronstad,NOR,Blackburn,29,Midfielder,467.0,5.188888888888889,17.036402569593147,0.0,1.5417558886509635,0.0,3.2184154175588864,6.745182012847965,0.7708779443254817,101.37044967880085,29.871520342612417,0.5781584582441113,1.734475374732334,2.312633832976445,3.468950749464668,10.464668094218414,1.5417558886509635,7.516059957173447,5.010706638115631,14.646680942184153
Scott Twine,ENG,Bristol City,25,Forward,1319.0,14.655555555555555,4.981046247156938,0.06823351023502654,0.9552691432903715,0.13646702047005307,1.9514783927217592,2.797573919636088,0.13646702047005307,9.757391963608795,13.169067475360121,0.27293404094010615,0.8188021228203185,2.183472327520849,0.3411675511751327,3.411675511751327,3.3434420015163004,0.6141015921152388,0.40940106141015925,2.0470053070507963
Igor Tyjon,ENG,Blackburn,16,Forward,547.0,6.0777777777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16453382084095064,0.0,0.0,0.0,0.0,5.478976234003656,0.0,0.0,0.0,0.0
Rocco Vata,IRL,Watford,19,Midfielder,496.0,5.511111111111111,11.25,0.0,0.1814516129032258,0.0,3.629032258064516,1.4516129032258065,0.1814516129032258,5.443548387096774,8.346774193548388,0.3629032258064516,1.6330645161290323,2.5403225806451615,0.5443548387096774,0.0,0.907258064516129,0.7258064516129032,0.0,0.7258064516129032
André Vidigal,POR,Stoke City,26,Midfielder,464.0,5.155555555555556,11.443965517241379,0.0,0.1939655172413793,0.0,2.773706896551724,0.3879310344827586,0.0,5.625,7.370689655172414,0.3879310344827586,1.1637931034482758,1.939655172413793,0.3879310344827586,6.45905172413793,1.5517241379310345,0.5818965517241379,0.3879310344827586,2.133620689655172
