player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
Ryan Haynes,ENG,Cheltenham,29,1995,4.8,Defender,Midfielder,0,0,0,0,0.00,0.00
Mark Helm,ENG,Fleetwood Town,23,2001,8.3,Forward,Midfielder,3,18,7,38.9,2.18,0.85
Kane Hemmings,ENG,Crewe Alexandra,32,1992,7.5,,Forward,3,15,6,40.0,2.00,0.80
Alex Henderson,ENG,Acc'ton Stanley,20,2004,1.6,,Midfielder,0,2,1,50.0,1.23,0.62
Luke Hendrie,ENG,Morecambe,30,1994,14.9,Midfielder,Defender,0,4,0,0.0,0.27,0.00
Callum Hendry,SCO,MK Dons,26,1997,5.7,,Forward,2,9,5,55.6,1.59,0.88
Regan Hendry,SCO,Tranmere Rovers,26,1998,8.9,,Midfielder,1,10,3,30.0,1.12,0.34
Ben Heneghan,ENG,Port Vale,31,1993,11.2,,Defender,0,6,3,50.0,0.53,0.27
Jack Hinchy,ENG,Notts County,21,2003,4.1,,Midfielder,0,1,0,0.0,0.25,0.00
Myles Hippolyte,GRN,AFC Wimbledon,30,1994,11.9,,Midfielder,2,28,8,28.6,2.36,0.67
Bailey Hobson,ENG,Chesterfield,22,2002,0.4,,Midfielder,0,0,0,0,0.00,0.00
Scott Hogan,IRL,MK Dons,32,1992,4.6,,Forward,2,12,7,58.3,2.61,1.52
