player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,90s_stats_shooting,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,90s_stats_misc,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Séamus Conneely,IRL,Acc'ton Stanley,36,1988,7.9,Not Available,Midfielder,7.9,0.0,7.0,1.0,14.3,0.89,0.13,5.0,5.0,450.0,7.9,0.0,2.0,14.0,5.0
Max Conway,ENG,Crewe Alexandra,21,2003,9.3,Defender,Midfielder,9.3,1.0,10.0,3.0,30.0,1.07,0.32,5.0,7.0,452.0,9.3,2.0,40.0,12.0,12.0
Ryan Cooney,ENG,Crewe Alexandra,24,2000,9.2,Defender,Midfielder,9.2,2.0,10.0,4.0,40.0,1.08,0.43,9.2,12.0,828.0,9.2,0.0,27.0,15.0,12.0
Joel Cotterill,WAL,Swindon Town,20,2004,10.0,Not Available,Midfielder,10.0,1.0,9.0,3.0,33.3,0.9,0.3,5.6,8.0,507.0,10.0,0.0,10.0,6.0,8.0
Ronan Coughlan,IRL,Fleetwood Town,29,1995,7.2,Not Available,Forward,7.2,4.0,27.0,15.0,55.6,3.75,2.08,9.5,11.0,856.0,7.2,6.0,2.0,2.0,7.0
George Cox,ENG,Swindon Town,26,1998,6.9,Not Available,Midfielder,6.9,1.0,14.0,3.0,21.4,2.03,0.44,5.1,8.0,456.0,6.9,1.0,64.0,8.0,12.0
Liam Coyle,ENG,Acc'ton Stanley,24,1999,2.5,Not Available,Midfielder,2.5,0.0,3.0,1.0,33.3,1.18,0.39,7.9,10.0,711.0,2.5,0.0,0.0,8.0,6.0
Ryan Croasdale,ENG,Port Vale,30,1994,9.2,Not Available,Midfielder,9.2,2.0,9.0,3.0,33.3,0.98,0.33,9.3,12.0,840.0,9.2,1.0,6.0,8.0,14.0
Daniel Crowley,ENG,Notts County,27,1997,11.8,Not Available,Midfielder,11.8,3.0,27.0,9.0,33.3,2.29,0.76,12.5,13.0,1128.0,11.8,0.0,44.0,3.0,15.0
Robbie Cundy,ENG,Notts County,27,1997,1.5,Defender,Midfielder,1.5,0.0,2.0,1.0,50.0,1.34,0.67,9.2,11.0,831.0,1.5,0.0,0.0,2.0,2.0
Ronan Curtis,IRL,Port Vale,28,1996,6.6,Forward,Midfielder,6.6,1.0,12.0,6.0,50.0,1.81,0.9,9.5,11.0,857.0,6.6,2.0,40.0,0.0,6.0
Bradley Dack,ENG,Gillingham,30,1993,0.2,Midfielder,Forward,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.9,10.0,622.0,0.2,0.0,0.0,0.0,0.0
Marcus Dackers,WAL,Salford City,21,2003,0.7,Not Available,Midfielder,0.7,0.0,1.0,0.0,0.0,1.53,0.0,10.0,11.0,902.0,0.7,0.0,0.0,0.0,1.0
Marcus Dackers,WAL,Morecambe,21,2003,7.2,Not Available,Forward,7.2,0.0,11.0,5.0,45.5,1.52,0.69,7.2,9.0,648.0,7.2,2.0,8.0,2.0,8.0
Andrew Dallas,SCO,Barrow,25,1999,1.6,Not Available,Forward,1.6,1.0,3.0,2.0,66.7,1.9,1.27,6.9,9.0,620.0,1.6,3.0,5.0,0.0,1.0
Matty Daly,ENG,Harrogate,23,2001,6.8,Not Available,Midfielder,6.8,1.0,9.0,5.0,55.6,1.33,0.74,5.0,5.0,450.0,6.8,0.0,6.0,3.0,8.0
Archie Davies,ENG,Carlisle United,26,1998,10.2,Midfielder,Defender,10.2,1.0,4.0,2.0,50.0,0.39,0.2,9.2,12.0,825.0,10.2,0.0,44.0,9.0,9.0
Jordan Davies,WAL,Grimsby Town,26,1998,1.5,Not Available,Midfielder,1.5,2.0,4.0,3.0,75.0,2.71,2.03,11.8,12.0,1063.0,1.5,0.0,1.0,1.0,2.0
Josh Davison,ENG,Tranmere Rovers,25,1999,4.9,Not Available,Forward,4.9,0.0,8.0,1.0,12.5,1.63,0.2,6.6,11.0,597.0,4.9,1.0,1.0,0.0,7.0
Kristian Dennis,ENG,Tranmere Rovers,34,1990,2.8,Not Available,Forward,2.8,1.0,6.0,2.0,33.3,2.16,0.72,11.9,13.0,1073.0,2.8,1.0,8.0,0.0,2.0
