,player,nation_stats_standard,squad,position_stats_standard,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,value
88,Gideon Kodua,ENG,Wycombe,Midfielder,20,2004,1.0,1006.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
89,Hector Kyprianou,CYP,P'borough Utd,Midfielder,23,2001,6.3,456.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,700000.0
90,Freddie Ladapo,ENG,Huddersfield,Forward,31,1993,2.2,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,500000.0
91,Elliot Lee,ENG,Wrexham,Midfielder,29,1994,11.2,454.0,0.0,0.0,0.0,4.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,700000.0
92,Elliott List,ENG,Stevenage,Midfielder,27,1997,4.8,593.0,0.0,0.0,0.0,3.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,125000.0
93,George Lloyd,ENG,Shrewsbury,Forward,24,2000,10.6,946.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,175000.0
94,Kyran Lofthouse,ENG,Barnsley,Midfielder,24,2000,2.4,1078.0,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,50000.0
95,Klaidi Lolos,GRE,Bolton,Midfielder,23,2001,0.2,617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
96,Emmanuel Longelo,ENG,Cambridge Utd,Midfielder,23,2000,3.0,1080.0,0.0,0.0,0.0,1.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1000000.0
98,Josh Magennis,NIR,Exeter City,Forward,34,1990,8.4,900.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,150000.0
99,Scott Malone,ENG,Crawley Town,Midfielder,33,1991,1.7,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0
101,Jack Marriott,ENG,Wrexham,Forward,30,1994,7.4,401.0,0.0,0.0,0.0,5.0,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,500000.0
102,Callum Marshall,NIR,Huddersfield,Forward,19,2004,7.1,426.0,0.0,0.0,0.0,2.0,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2000000.0
103,Alfie May,ENG,Birmingham City,Forward,31,1993,7.3,1012.0,0.0,0.0,0.0,5.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,300000.0
104,Liam McCarron,SCO,Northampton,Midfielder,23,2001,1.5,503.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,250000.0
106,Conor McGrandles,SCO,Lincoln City,Midfielder,29,1995,6.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,200000.0
107,JJ McKiernan,NIR,Lincoln City,Midfielder,22,2002,2.5,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,300000.0
108,Michael Mellon,SCO,Stockport,Forward,20,2003,0.2,759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
109,Mickel Miller,ENG,Huddersfield,Midfielder,28,1995,8.4,619.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,400000.0
110,Aaron Morley,ENG,Wycombe,Midfielder,24,2000,7.4,640.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,900000.0
111,Paul Mullin,ENG,Wrexham,Forward,29,1994,4.5,990.0,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,900000.0
112,Tom Nichols,ENG,Mansfield Town,Midfielder,31,1993,0.9,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,200000.0
113,Brandon Njoku,ENG,Cambridge Utd,Forward,19,2005,3.6,1058.0,0.0,0.0,0.0,1.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50000.0
114,Oliver Norburn,GRN,Blackpool,Midfielder,31,1992,3.5,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,200000.0
