player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Louis Reed,ENG,Mansfield Town,27,1997,12.9,,Midfielder,0,12,2,16.7,0.93,0.16,13.7,16,1229,0,6,13,11
Jamie Reid,NIR,Stevenage,30,1994,10.4,Midfielder,Forward,0,19,5,26.3,1.83,0.48,1.8,7,162,10,5,2,9
Seb Revan,ENG,Wrexham,21,2003,2.7,,Defender,0,3,0,0.0,1.12,0.00,15.0,15,1350,0,14,3,2
Vicente Reyes,CHI,Cambridge Utd,21,2003,15.0,,Goalkeeper,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0
Jordan Rhodes,SCO,Blackpool,34,1990,4.9,,Forward,0,18,8,44.4,3.71,1.65,1.1,6,100,5,1,0,1
Amani Richards,ENG,Exeter City,20,2004,2.3,,Forward,1,4,1,25.0,1.77,0.44,13.2,17,1190,0,5,0,2
Taylor Richards,ENG,Cambridge Utd,23,2000,0.4,,Midfielder,0,0,0,0,0.00,0.00,0,0,0,0,0,0,1
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Erik Ring,SWE,Lincoln City,22,2002,3.7,,Midfielder,1,7,4,57.1,1.87,1.07,0,0,0,0,19,2,3
Jordan Roberts,ENG,Stevenage,30,1994,13.1,,Midfielder,1,17,5,29.4,1.30,0.38,4.9,7,437,1,35,12,6
Marc Roberts,ENG,Barnsley,34,1990,16.1,,Defender,3,13,8,61.5,0.81,0.50,0.4,1,33,1,16,22,16
Tyler Roberts,WAL,Northampton,25,1999,8.6,Midfielder,Forward,0,20,8,40.0,2.32,0.93,7.0,7,630,2,14,2,8
Luke Robinson,SCO,Wigan Athletic,23,2001,1.3,,Defender,0,1,0,0.0,0.74,0.00,7.8,9,701,0,2,3,3
Jack Roles,CYP,Crawley Town,25,1999,1.6,,Midfielder,0,4,1,25.0,2.57,0.64,5.7,7,517,0,8,0,1
Oliver Rose,ENG,P'borough Utd,19,2004,0.1,,Forward,0,0,0,0,0.00,0.00,3.2,10,291,0,0,0,0
Jordan Rossiter,ENG,Shrewsbury,27,1997,7.1,,Midfielder,0,5,2,40.0,0.71,0.28,4.6,11,414,0,5,9,14
Sean Roughan,IRL,Lincoln City,21,2003,17.0,,Defender,1,6,4,66.7,0.35,0.24,12.0,13,1077,0,87,19,8
Josh Ruffels,ENG,Huddersfield,31,1993,0.6,Midfielder,Defender,0,1,0,0.0,1.80,0.00,11.9,15,1068,0,1,2,0
Tivonge Rushesha,WAL,Reading,22,2002,0.2,,Midfielder,0,1,0,0.0,6.00,0.00,8.0,8,720,0,1,0,0
Jonathan Russell,JAM,Barnsley,24,2000,7.9,,Midfielder,2,9,5,55.6,1.14,0.63,0,0,0,3,1,8,6
Ryan Rydel,ENG,Stockport,23,2001,3.0,,Midfielder,0,4,2,50.0,1.33,0.67,15.0,15,1350,0,22,1,2
Kieran Sadlier,IRL,Wycombe,30,1994,4.7,Forward,Midfielder,1,8,4,50.0,1.69,0.85,7.3,10,660,0,20,3,4
Charles Sagoe Jr,ENG,Shrewsbury,20,2004,3.9,,Midfielder,0,5,2,40.0,1.28,0.51,5.6,11,500,0,10,1,4
Alfons Sampsted,ISL,Birmingham City,26,1998,1.9,,Defender,0,0,0,0,0.00,0.00,15.7,17,1411,0,13,4,4
Dion Sanderson,ENG,Birmingham City,24,1999,1.0,,Defender,0,0,0,0,0.00,0.00,15.5,16,1396,0,0,2,0
Ricardo Santos,POR,Bolton,29,1995,16.0,,Defender,1,8,3,37.5,0.50,0.19,0.8,1,74,2,0,17,11
Charlie Savage,WAL,Reading,21,2003,9.8,,Midfielder,3,23,6,26.1,2.35,0.61,14.2,16,1276,0,28,8,10
Toby Savin,GAB,Shrewsbury,24,2000,16.0,,Goalkeeper,0,0,0,0,0.00,0.00,2.1,4,193,0,0,1,0
Dan Scarr,ENG,Wrexham,29,1994,6.7,,Defender,0,4,1,25.0,0.60,0.15,4.2,9,380,0,0,13,2
Szabolcs Schön,HUN,Bolton,24,2000,13.8,,Midfielder,1,18,5,27.8,1.31,0.36,0.9,4,84,3,67,16,25
Josh Scowen,ENG,Wycombe,31,1993,12.5,,Midfielder,0,13,3,23.1,1.04,0.24,3.9,9,354,1,6,16,6
